SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
2048793,,RG 4-37,,460/94,,,Dietetics Act,1994,,,1 file of textual records,textual records,,,,,,Y,2094," :""B808980"":""Y"":",,
1771939,,F 4655-1,F 4655-1-0-772,71-1891,,,Workers Compensation Board (WCB) - Al McDonald Addressing Dairy Council Convention,"Aug. 17, 1971",,,"9 photographs : 9 black and white negatives, ",Graphic materials,,143,,,,Y,," :""B862770"":""Y"":",,
1772309,,F 4655-1,F 4655-1-0-1142,72-2262,,,Elliott Business Machines - C.N.B.S.,"Oct. 4, 1972",,,"3 photographs : 3 colour negatives, ",Graphic materials,,156,,,,Y,," :""B862773"":""Y"":",,
1841886,,RG 19-162,,,,,Order-in-council,1997,,,1 file of textual records,textual records,,,,,,Y,2017," :""B818780"":""Y"":",,
2048556,,RG 4-37,,53/94/,,,Off-Road Vehicles Act,1994,,,1 files of textual records,textual records,,,,,,Y,2094," :""B808973"":""Y"":",,
2128332,,RG 2-312,,,,,Women in educational administration,1988-1989,,,1 file of textual records,Textual Records,,9,,,,Y,," :""B370674"":""Y"":",,
2085649,,RG 74-76,,11-DMO GOVF-FPTCS02,,,Federal / Provincial / Territorial Committee for Seniors,2002,,,1 file of textual records,textual records,,,,,,Y,2102," :""B835050"":""Y"":",,
1770961,,F 895,F 895-1-0-499,,,,Victory Loan Drive 1919,1919,"""The Clean Up"" 1919 Victory Loan Poster. ",,1 file of textual records,Textual records,,,,,,Y,," :""B828355"":""Y"":",,
1796313,,RG 10-124,,N1097,,,Swiss Nursing Home - Stayner,1969-1978,,,1 file of textual records,textual records,,,,,,Y,2078," :""B838217"":""Y"":",,
1727660,,RG 3-57,,CU 1-1,,,Arts and Cultural Programs - Funding - I,1983,,,1 file of textual records,Textual records,,1985-00200/3,,,,Y,2083," :""B118252"":""Y"":",,
