SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1026424,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4159 ; Roll : 78-0253 ; Photo(s) : 160-161,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026425,,RG 1-429-7,,,"1:15,840",,418823,1955,Flight Line : 4141 ; Roll : 55-0056 ; Photo(s) : 209-210,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418823 for the year 1955 and 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026426,,RG 1-429-7,,,"1:15,840",,418823,1955,Flight Line : 4142 ; Roll : 55-0056 ; Photo(s) : 211-213,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418823 for the year 1955 and 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026427,,RG 1-429-7,,,"1:15,840",,418823,1955,Flight Line : 4143 ; Roll : 55-0056 ; Photo(s) : 214-216,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418823 for the year 1955 and 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026428,,RG 1-429-7,,,"1:15,840",,418823,1955,Flight Line : 4144 ; Roll : 55-0056 ; Photo(s) : 217-220,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418823 for the year 1955 and 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026429,,RG 1-429-7,,,"1:15,840",,418823,1956,Flight Line : 4145 ; Roll : 56-0003 ; Photo(s) : 256-261,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418823 for the year 1955 and 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026430,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1972,Flight Line : 4138 ; Roll : 1-72-0017 ; Photo(s) : 179-181,,3 photographs : black and white prints,,,FRI-0001,,Index Map Note : Docket index map missing ; Area 11,,Y,," :""B863215"":""Y"":",,
1026431,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1972,Flight Line : 4139 ; Roll : 1-72-0017 ; Photo(s) : 176-178,,3 photographs : black and white prints,,,FRI-0001,,Index Map Note : Docket index map missing ; Area 11,,Y,," :""B863215"":""Y"":",,
1026432,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1972,Flight Line : 4140 ; Roll : 1-72-0017 ; Photo(s) : 171-175,,5 photographs : black and white prints,,,FRI-0001,,Index Map Note : Docket index map missing ; Area 11,,Y,," :""B863215"":""Y"":",,
1026433,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1972,Flight Line : 4141 ; Roll : 1-72-0017 ; Photo(s) : 153-158,,6 photographs : black and white prints,,,FRI-0001,,Index Map Note : Docket index map missing ; Area 11,,Y,," :""B863215"":""Y"":",,
1026434,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4163 ; Roll : 78-0253 ; Photo(s) : 79-81,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026435,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4164 ; Roll : 78-0253 ; Photo(s) : 40-42,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026436,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4165 ; Roll : 78-0253 ; Photo(s) : 75-78,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026437,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4166 ; Roll : 78-0253 ; Photo(s) : 70-74,,5 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026438,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4167 ; Roll : 78-0253 ; Photo(s) : 65-69,,5 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
