SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA,CMTAU,MOD_DATE
27,,Henvey (Ont. : Township),,,,"Located in Parry Sound District, Ontario.",,,,,,,,,,,,"Gazetteer of Ontario, 1962,  p. 238.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.4,,Y
2095,,"Silver Lake (Lanark and Frontenac Counties, Ont.)",,,,"Located in Sherbrooke Township, Lanark County and Oso Township, Frontenac County.",,,,,,,,,,,,"Gazetteer of Canada: Ontario, Ontario, 1988, p. 355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.10B,Approved,Y
7749,,"Order Sons of Italy of Canada. Principe Umberto Lodge (St. Catharines, Ont.)",,,,"The Principe Umberto Lodge of the Order Sons of Italy of Canada was established in 1917 in St. Catharines. In 1938, after the Order underwent a significant period of growth, Principe Umberto divided to allow for the formation of a separate lodge for its female members. This lodge, called Savoia, lasted under ten years, after which time it was re-incorporated into the main lodge. The Principe Umberto Lodge was unable to re-build its membership after WWII and it consequently dissolved in the early 1971.",,,,,,,,,,,,"Within Our Temple: A History of the Order Sons of Italy in Ontario, by Gabriele P. Scardellato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3636,,"Harmony (Oshawa, Ont.)",,,,Located in Ontario County,,,,,,,,,,,,"Gazetteer of Canada Ontario, 1988, page 160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.3,Approved,Y
211,,Inwood (Ont.),,,,"Located in Lambton County, Ontario.",,,,,,,,,,,,"Gazetteer of Ontario, 1973, p. 343.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,Nam 4.4,,Y
4457,CA673,Ontario. Community Information Services,,,"The Community Information Services unit administered the Community Information Services Program. The unit provided functional support for a network of community information centres (CIC) in Ontario, including funding through grants, providing advice on information management, staffing and volunteer training, and the production of resource material.","Community Information Services was established in 1971 as part of the Community Development Branch of the Ontario Department of the Provincial Secretary and Citizenship. The Community Information Services unit was  transferred to the Ontario Ministry of Community and Social Services in April 1972, forming part of the Community Services Division. In 1974, however, the office became part of the Program Development Division. Effective April 1975, responsibility for the Community Information Services Office unit was transferred to the Ontario Ministry of Culture and Recreation, where it formed a part of the Multicultural Development and Public Libraries Division. For a brief period in 1979, the unit formed a part of the Citizens' Inquiry Branch of the Information Access Division. By December 1979, however, it was transferred to the new Libraries and Community Information Branch. In 1989, responsibility for Community Information Services Program was transferred to the Grants Administration, Planning and Evaluation Unit, of the Libraries and Community Information Branch. With this change, the Community Information Services unit ceased to exist. Ministerial responsibility for Community Information Services rested with the Ontario Department of the Provincial Secretary, from 1971 to 1972; the Ontario Ministry of Community and Social Services, from 1972 to 1975; the Ontario Ministry of Culture and Recreation, form 1975- 1982; the Ontario Ministry of Citizenship and Culture, from 1982- 1987; and with the Ontario Ministry of Culture and Communications, from 1987-1989.",,,,,,,,,,,,"Inventory 47 - Culture (July 1996). Ontario Government Telephone Directories, 1971-1989. Canadiana Name Authorities, 1996-12- 24",,,,,1971,1972,Ontario. Dept. of the Provincial Secretary and Citizenship,1972,1975,Ontario. Ministry of Community and Social Services,1975,1982,Ontario. Ministry of Culture and Recreation,1982,1987,Ontario. Ministry of Citizenship and Culture,1987,1989,Ontario. Ministry of Culture and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,C Ontario Government Name,,,,,,,,,,,,,,,Approved,Y
3101,,Musgrove (Ont. : Township),,,,Located in Timiskaming District.,,,,,,,,,,,,"Gazetteer of Canada Ontario, 1988, p. 268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.4,Approved,Y
9217,,"Gilling, Walter J., 1906-1993",,,,"Walter J. Gilling was born in Edinburgh, Scotland to Sergeant Richard Gilling and Clara Maude Gilling. Richard Gilling was captured at Mons, France during the First World War and underwent serious privations as a prisoner of war. He was repatriated to Switzerland in 1917 and returned to England in 1918. He immigrated to Canada in 1918 and he became the Chief of Police in Ingersoll, Ontario and later Watford. Walter J. Gilling, left school at the age of fourteen and began working for the Ingersoll File Company. He travelled to England looking for work unsuccessfully in 1923, drove a truck for the Ingersoll Tool and Machine Company and worked as a harvest labourer in Saskatchewan. He returned home in 1929 and worked at J.C. Labatt Company in order to save money for divinity college. He was admitted to Trinity College in 1931 and graduated with a licentiate of theology in 1935. Walter J. Gilling served as an assistant curate at St. John the Evangelist Anglican Church in Peterborough, Ontario where he joined the Canadian Chaplain Service in the Militia and served as chaplain of the 4th Machine Gun Battalion. He moved to Toronto and was appointed chaplain at Trinity College in 1937. With the outbreak of war in 1939, Gilling volunteered for service and went to England as chaplain of the Toronto Scottish Regiment. He returned to Canada in October 1946 having served as Principal Chaplain Overseas since November 1945. In his time overseas, Gilling served with the Toronto Scottish, the Hastings and Prince Edward Regiment, The Royal Canadian Dragoons, in several capacities with the Central Mediterranean Forces, The Canadian Army in North West Europe and at The Canadian Military Headquarters in London, England. After the war Gilling became Rector of St. Luke's Anglican Church in Peterborough (1946-1956) and was appointed Archdeacon of Peterborough in 1955. He moved to Toronto and was Archdeacon of the Diocese of Toronto from 1956 to 1961 and Rector of the Cathedral Church of St. James and the Dean of Toronto (1961-1973). Walter J. Gilling married Phyllis (nee Douglas) Gilling in 1945 and raised his stepson Alec Douglas. He married Kathleen (nee English) Gilling in 1968. Walter J. Gilling died in 1993.",,,,,,,,,,,,Fonds F 4645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
636,,Ware (Ont. : Township),,,,"Located in Thunder Bay District, Ontario.",,,,,,,,,,,,"Gazetteer of Ontario, 1962,  p. 586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.4,,Y
8091,BA611,North Bay Psychiatric Hospital (Ont.),,,"The North Bay Psychiatric Hospital functioned as an accredited mental health facility providing inpatient programs, community programs and services, and consultation and education programs. North Bay also provided curriculum training in Chronic Care psychiatry sponsored by the University of Western Ontario. The hospital was also used by many nursing programs in the region for their psychiatric training.","The North Bay Psychiatric Hospital (NBPH) was established in October 1957 by the Mental Health Division of the Department of Health. Encompassing Northeastern Ontario, NBPH's catchment area covered close to one third of the province of Ontario. Inpatient services were provided through four functional programs: District Mental Health Program, Regional Specialized Mental Health Program, Seniors' Mental Health Program and the Forensic Program. In addition to its acute care role, the hospital served as the region's tertiary care centre with a large proportion of beds dedicated to long term rehabilitation and care of those with serious mental illness. Care and treatment of the mentally disordered offender population and patients referred by the courts was an important service of the hospital. Small rural and isolated areas depended heavily on NBPH for the provision of acute care services. The Northeastern Regional Mental Health Centre was closed March 31, 1975: patients were transferred to the North Bay Psychiatric Hospital. The Hospital was divested by the Ministry of Health and Long-Term Care on 21 November 2005. It was known as the North Bay site of the Northeast Mental Health Centre until 1 April 2011 when the Northeast Mental Health Centre amalgamated with the North Bay General Hospital. It is now known as the North Bay Regional Health Centre (NBRHC).",,,,,,,,,,,,Annual Reports of the Ministry of Health [and Long Term Care]; Web site for North Bay Psychiatric Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B Ontario Government Name,,North Bay Psychiatric Hospital (Ont.),,,,,,,,,,,,Rules for Archival Description,Approved,Y
